coh_nofilt_fp1_c4,coh_nofilt_fp2_c3,coh_nofilt_f4_f8,coh_nofilt_f8_t4,coh_nofilt_t4_p4,coh_nofilt_t4_t6,coh_nofilt_t5_p3,coh_nofilt_t5_o1,coh_nofilt_p4_t6,coh_alpha_fp2_pz,coh_alpha_f8_t4,coh_alpha_t3_c3,coh_alpha_t3_p4,coh_alpha_t5_p3,coh_alpha_t5_o1,coh_alpha_pz_p4,coh_alpha_pz_o2,coh_theta_f3_t3,env_nofilt_fp1_t4,env_nofilt_f4_c4,env_nofilt_f8_c4,env_nofilt_f8_t4,env_beta_fp1_c4,env_beta_fp2_t5,bands_gamma_fp1,bands_beta_t3,psi_alpha_fp2_fp1,fn
0.6729993705606168,0.5492034521303576,0.8516199304044236,0.7728849197262965,0.7246408685282799,0.7835573937724103,0.9009224331336558,0.8369301118538862,0.8682532210628701,0.5266399710001104,0.8212209329566907,0.7020766781542958,0.5297415589508446,0.8574260294899508,0.8055791552611717,0.871218698894698,0.7604012944781859,0.5570297635409417,0.3026254459943789,0.6302563473131079,0.475647951057755,0.6545365568677732,0.40608519087674455,0.18820084168998166,0.0001756508187895837,0.006493820654333889,0.32181919230154554,00b2d6e257e2f615.csv
0.3809172894447032,0.3967735343318524,0.8123750219796256,0.7356458388270426,0.5338965602068977,0.6414412184634355,0.8050952351208682,0.8891708020227664,0.4850353770080425,0.4959185824478236,0.9060799987890148,0.8124242788037973,0.3991556932528189,0.8110117576436537,0.9323720002581384,0.8157360900959127,0.4757553502732684,0.610566404194304,0.6223194693184294,0.40980297152119627,0.4132557380981561,0.7959292645383587,0.15392467789758638,0.2395536968079608,0.00026465018697790447,0.01105568513997838,3.3565771472119894,09769097749fb286.csv
0.5170470765362642,0.7136082682305084,0.7908056630323079,0.7227897262685602,0.6525739480960295,0.8237711924952064,0.7327948078475858,0.908678193922008,0.7466786876163027,0.6728653496326955,0.8564270472937869,0.8594962457292353,0.6338703345423506,0.9050494008876008,0.9630600305246648,0.817809707978596,0.8331138409197427,0.7560438135709344,0.2394694396045931,0.373260568561799,0.29122743952574315,0.6304118398107919,0.18678527816985696,0.3965351714864676,4.757424474569007e-05,0.01210051027411558,-1.5590487398027135,0b84dd748e7d5edd.csv
0.7660671228049576,0.7499187236043775,0.8098845887556191,0.7814870242635186,0.7848916336253308,0.8319931106038699,0.9614864411547872,0.95444138273598,0.9537170485441948,0.5660177118575891,0.7942222485317364,0.8346919641813646,0.5022307619437714,0.9178054954580396,0.8987851765073321,0.6954910040489698,0.535406949996504,0.6706492195649759,0.4047232200734313,0.5669940136490662,0.25990585343208994,0.368198300831419,0.31084905092819204,0.05665364222877833,0.0003452857907949001,0.012688214653883484,0.1908647323868456,158ce5e17a662599.csv
0.4480386553127953,0.3710568476989983,0.8310792336695231,0.7415956169294559,0.4888690866753679,0.6339555757376114,0.7832530672656807,0.8427015564035204,0.7689837696641479,0.5571556204742695,0.8814379825944071,0.5408600287071017,0.4470965652915193,0.7265924141427961,0.9160764329693202,0.8728296264610387,0.7156172641236579,0.5832595795835959,0.5262583632137339,0.3409323036181814,0.32042239446474696,0.7290320881646082,0.15679110481817607,0.23835248612097545,0.0014108608957981625,0.012842191360137006,-0.25295702333984044,17df70855fa4922a.csv
0.3596986174251802,0.3650253090144731,0.7993358130481035,0.6129795456398656,0.4514541670746897,0.4812938573947173,0.6837982421603139,0.8073221901519602,0.8342450522232464,0.6169004163137917,0.8173396322003927,0.6364246541715728,0.4060541855836791,0.8545772353185254,0.8880662391597021,0.7674167446006088,0.7178925007338224,0.5789374352822152,0.34937171626268826,0.3796830632913393,0.3823419692628777,0.6367051858110939,0.13951789070628673,0.08231419318337313,0.0003468872170054412,0.01243572259890068,-0.3864933565984256,1eebfb80ad31ef08.csv
0.3787510313440685,0.4144801596795248,0.7369508184914382,0.6608188022986171,0.4676409541848539,0.5664999509796347,0.7768107574297511,0.8191132225231382,0.7432499048723508,0.5394625584284738,0.9083839563170788,0.6572232143225816,0.4615492756049306,0.8868649543779038,0.9564332968265084,0.8621657529723794,0.6530774645256286,0.5927560850683964,0.6298132966924485,0.4853934429984381,0.4792949992958154,0.7909252469145077,0.07494860996275611,0.17357560458818005,0.0003874866667045598,0.01333769657613846,1.1120189123582611,1f424c8e1fd31218.csv
0.4658031948463202,0.4035732053929828,0.8064239129263496,0.6561484526502365,0.5614704884434201,0.6615035202759195,0.8872119928464881,0.9336380366611221,0.8081971829476378,0.4844658055160141,0.7352290257338614,0.7441014484929709,0.4879647818677049,0.8354284968532243,0.9340779113305938,0.8564255802697056,0.6157407337275689,0.6125915473594469,0.3177518180728105,0.11848729432274532,0.17462220750545102,0.5018274015155217,0.03578168425478024,0.13236342641239934,0.0016480660432536738,0.01294269800782086,0.5018545194042685,210a90133b1f39a3.csv
0.3839958682570256,0.4092972521861653,0.6269207601936566,0.4516388372176068,0.4528751081629984,0.5071387197246544,0.9430413550225788,0.5710161635213318,0.7698326514406897,0.6087330585304265,0.7391786103293424,0.838946998748995,0.3590997984316583,0.9480046323164188,0.8775670518428003,0.5823278260944398,0.4569580665161783,0.6083742411414426,0.1901667276496861,0.3139475878135488,0.2712816641513498,0.2890573987788244,0.1228929117614452,0.17339537122951296,0.0011143638478100038,0.02184227257707786,-0.4003472092070944,2330fe97fb1ce051.csv
0.5898541752120785,0.5740104529919631,0.7980200159763065,0.8308291094695396,0.7524810421145377,0.7720043336726224,0.67654377717932,0.6887663544588946,0.7632126754816295,0.7123869451308663,0.8326830438970741,0.7450516600158852,0.7251010507563642,0.7934100917006334,0.8038234388754794,0.8424989396301567,0.7753913946990475,0.6878816882853399,0.07394338748319773,0.2596355406682909,0.050241570423236126,0.25425150282764064,0.061971931996455676,0.01909027257147337,0.0002527460839720475,0.05010028942759196,-3.6653048071352736,25313f2f5b6854da.csv
0.3891654893138803,0.4262568840717312,0.6130924554454048,0.6262201830699626,0.5692229142066313,0.7033098836505646,0.8563131652131784,0.8671617905775891,0.8095882696846352,0.3740519375209657,0.8414449232600262,0.7324444949726254,0.4232673091970943,0.8635548345810642,0.8830311449114855,0.7622118848702937,0.6460680102792783,0.5596608912088321,0.31305013428831885,0.4121069459171118,0.3458189299593601,0.6281762694654738,0.20280103123543874,0.3459882668733559,0.00015987477955549053,0.009466462262349323,-0.2097395745869212,27502eb3bc2f0ef5.csv
0.6743151327411221,0.7931396314823939,0.9164745403573916,0.919703854293036,0.6142079791315406,0.8964326972572311,0.8458941553654657,0.8386984513986605,0.6052334969429285,0.640973372653999,0.8928167735149235,0.7337488852024819,0.6259411007378562,0.8637706939986376,0.9386390957478814,0.7844830622528954,0.7269338839134709,0.9002291532125207,0.2939582914321029,0.265144545698773,0.3143400090441195,0.7344894531052131,0.15162998361195226,0.28089849335745803,0.00010684633641797464,0.011668592944274815,-0.7587598342453821,2a4a9f39f461ddbd.csv
0.4034168183048068,0.416589175093093,0.7344362446178957,0.7534977845988877,0.6429218448055106,0.8207246336724059,0.6636339534201383,0.8103503728209139,0.7992820033843736,0.44164664110953095,0.8351833035011597,0.6238356381753599,0.4974263380561802,0.8590814027148657,0.9364274980441558,0.872497602075775,0.6745064438748926,0.8209235640955107,0.4605610068824795,0.25045512401169395,0.2903428689133264,0.6358424929154691,0.17114440350896634,0.321959733574328,0.0013709542676718614,0.012475360178398951,-1.5001189815666696,2ba1dbcfc047f2dc.csv
0.3873080031900266,0.3992285896669035,0.7587886936125744,0.6736933911226317,0.5162600133036659,0.5501254656408984,0.7098875096432444,0.8012423430885186,0.7262038726179609,0.6207516828086252,0.741616885209174,0.7345810144905355,0.4738182746716103,0.7767235195809937,0.8638095831675648,0.7907861316619387,0.6554767267364441,0.4753606764535587,0.3267659018594923,0.2444585061008324,0.25367354877991705,0.600470021320779,0.17926123133052546,0.2012878048290832,0.00013680289599137514,0.005905902618966177,1.324956830399152,337af017390cad98.csv
0.4642688892718509,0.3991214261775776,0.5137584011099268,0.6651288073437354,0.5100790301700246,0.6742674272936331,0.928466009128231,0.9422255386340028,0.658342937492689,0.4271974654105663,0.8448441180174431,0.7914528708390244,0.5128421267072735,0.8758191024859778,0.93743315897109,0.5486191011379872,0.4649082652491268,0.859938802459923,0.28203283866229945,0.2557373088224028,0.15009497997911014,0.4742763189828079,0.09118710967796977,0.3080744045570993,0.0043210147694084725,0.0145003089452549,0.1410500612589752,338af1bcca222684.csv
