coh_nofilt_fp1_f3,coh_nofilt_fp2_pz,coh_nofilt_f7_t3,coh_nofilt_t3_c3,coh_beta_fp1_f3,coh_beta_fp2_o2,coh_beta_f7_t3,coh_beta_f8_t4,coh_beta_t3_c3,coh_beta_t3_t5,coh_theta_f7_o2,env_nofilt_f7_c3,env_nofilt_t3_c3,env_nofilt_t3_p4,env_nofilt_c3_t4,env_nofilt_p4_o2,env_alpha_t3_t5,env_beta_fp1_f3,env_beta_t3_c3,env_beta_t3_c4,env_beta_t3_t4,env_theta_t3_c4,env_theta_c3_t4,bands_beta_f8,bands_theta_f8,bands_beta_t3,bands_gamma_t3,bands_beta_t4,psi_alpha_fz_fp1,fn,target
0.8573646159919386,0.5986011828299674,0.7357823283742446,0.7118579063649288,0.9072364147695606,0.6566619463739264,0.6675325116325385,0.8182142862042558,0.6795292102420697,0.7430590651709648,0.468342104174601,0.38309103241212505,0.37539182336513616,0.11242288473407112,0.20159005610198244,0.7860104593883208,0.4146048510422991,0.8090417586902929,0.2708305369570114,0.20976340809538924,0.18394955602836446,0.2766454155475165,0.2776159012782233,0.006394720630486903,0.005768418001358848,0.006493820654333889,0.0002061079632265765,0.007673174588732008,1.9746675609342912,00b2d6e257e2f615.csv,trauma
0.7753780073945117,0.4626410624534846,0.7404552965497131,0.7520894462044942,0.7782458767894932,0.5519941810727839,0.7657715380202263,0.7777897839599691,0.6959633685879327,0.7616341064101143,0.6611402913910509,0.4317613272762263,0.6534518026922299,0.1048185467671826,0.2696983109415243,0.12524956463018555,0.6545961143832397,0.4805755147978353,0.43826781920194224,0.04100764211722247,0.3076134736434375,0.20753114295120306,0.2591194273534609,0.012355287849643308,0.007541466323459669,0.01105568513997838,0.00026137399617483654,0.00989122996894948,0.328779383486036,09769097749fb286.csv,trauma
0.8616012836781171,0.6081053883270684,0.6848840625286546,0.5666197303168082,0.8244099786303161,0.6945764279078332,0.7275929551815054,0.7719179889471454,0.6969931905732326,0.7454488945550611,0.7111023845405162,0.3978284549512289,0.4591959412343449,0.18625590499357367,0.18221412426362946,0.5733867053460933,0.5890917985319061,0.6784669835512951,0.3733819786173557,0.14889175144091402,0.2481382322742265,0.10427270444555094,0.0824593628685488,0.008266047792933991,0.005058235313661902,0.01210051027411558,0.00034461597487576724,0.0096803966245544,-0.4563020657772572,0b84dd748e7d5edd.csv,trauma
0.833708801798394,0.7625455444145182,0.8245836326298289,0.8724289230929875,0.9450756547759956,0.5476422612330767,0.6304046305847344,0.538873134298075,0.7732103097165028,0.7708754642287936,0.4828425109611346,0.2989655945901093,0.5068060501033879,0.06354555938671759,0.18898703668298053,0.4395124867392161,0.6779646731697995,0.8529615248405003,0.5267037695420936,0.16770972446991822,0.32290685096436,0.13442066720829668,0.12837318977306467,0.015154954662685996,0.0039003821819903494,0.012688214653883484,0.0005150509770607844,0.01257891589262058,-0.5156332530195209,158ce5e17a662599.csv,trauma
0.8870780852254727,0.38439485352313774,0.7850849714136009,0.6697229033262322,0.8657822286106998,0.3997700421347017,0.8129963038486833,0.8203922009176698,0.5467302428249585,0.7467090772732005,0.5327328068563183,0.19911942425107493,0.2884494130172503,0.1453072497743132,0.1618512038744731,0.7612630893619174,0.22026503618332904,0.7865954005457746,0.2915778127901847,0.1253386270559422,0.574682508217234,0.2866078057871179,0.39427479029249934,0.009656459288321805,0.005331931706306842,0.012842191360137006,0.0018468343710254238,0.010304108480478318,0.3439558807328734,17df70855fa4922a.csv,trauma
0.6984644950698348,0.4003326627730733,0.5625627971444602,0.5300054750716249,0.7821644154199241,0.36428218345715896,0.5750406012536594,0.6666226097711564,0.5277397086054738,0.4770231136195098,0.4823184685901736,0.3514470759313489,0.4690179960629446,0.1289735606229359,0.20885788406672806,0.767616847360392,0.504752316481275,0.6369281872558521,0.2631290041767905,0.06379466447779829,0.19620994835917405,0.09901162713683713,0.3160206149606508,0.0071494341789677795,0.01611363033386097,0.01243572259890068,0.0013119458729682991,0.007851297557405747,-1.3194504253972332,1eebfb80ad31ef08.csv,trauma
0.8638294723809735,0.4576374856046973,0.6275397096256724,0.6554673370976212,0.8658695714113386,0.44348873758870544,0.6907503543506402,0.6419775269798917,0.6231537102119715,0.6687321937083374,0.4654758535991978,0.35644488104042543,0.4565933220915873,0.2898375230637939,0.2359628706367697,0.5090340834989823,0.6369568884054313,0.5971333027672189,0.49239857082956107,-0.0003670321134681322,0.3616822108904066,0.3219174381608317,0.22147018494445173,0.011738485441657051,0.004767521557561228,0.01333769657613846,0.0005424015385185613,0.00937097317443028,-0.5747011650396732,1f424c8e1fd31218.csv,trauma
0.9243798498856516,0.4066923761789522,0.7336697690069758,0.7247983137965847,0.9245546209715486,0.5199262171919099,0.7949961702820738,0.7425984594917291,0.8014744877735169,0.8100859621824562,0.5050250313122561,0.4256974372921766,0.6340257068341558,0.1568835823948605,0.1324009130089368,0.6014212738161449,0.4795378701140101,0.8962897639548139,0.7183433987997166,0.0347178731332273,0.29345147681211553,0.06053984704558544,0.17815812266388406,0.009486743009900551,0.0045610887276443975,0.01294269800782086,0.0021225452866683358,0.007362433316625391,0.06782271827400475,210a90133b1f39a3.csv,trauma
0.5291815732368368,0.38601119799312295,0.476582918220996,0.4926137839981276,0.5950330979161449,0.4225892014276544,0.4334802247232257,0.4270848307710667,0.4417721442977121,0.4112485582390483,0.5644237633541306,0.18028498438024645,0.20970289967917355,0.12664205008735868,0.10507756131587677,0.5776213787172095,0.6634305894093488,0.2701440031352924,0.16017283164965354,0.061532821476711776,0.13212655931669434,0.2421448812531857,0.2329293898828617,0.007269655518787575,0.003575689163587182,0.02184227257707786,0.0098574758654019,0.017054692567736326,-0.1610626921075164,2330fe97fb1ce051.csv,trauma
0.5763803891291129,0.5864691311892386,0.6139768491175263,0.8226537080313531,0.6842029243627132,0.6966056857374472,0.7020863616564617,0.7198813725941767,0.7479363247231572,0.7114889045559929,0.7927701716228296,-0.012755399708891826,0.09831889970592772,0.04242983210944834,0.03670571672879472,0.43422432769205854,0.1769837347157642,-0.015448459342762238,0.2167863242549421,-0.025795951403165183,0.05386893761697027,0.12209233968461244,0.1064729157416358,0.03515406416838165,0.003120411115511072,0.05010028942759196,0.002334734938307223,0.013395215263428798,2.3692080643011453,25313f2f5b6854da.csv,trauma
